"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","GA_Goals","PKA_Goals","FK_Goals","CK_Goals","OG_Goals","PSxG_Expected","PSxG_per_SoT_Expected","PSxG+_per__minus__Expected","_per_90_Expected","Cmp_Launched","Att_Launched","Cmp_percent_Launched","Att (GK)_Passes","Thr_Passes","Launch_percent_Passes","AvgLen_Passes","Att_Goal","Launch_percent_Goal","AvgLen_Goal","Opp_Crosses","Stp_Crosses","Stp_percent_Crosses","#OPA_Sweeper","#OPA_per_90_Sweeper","AvgDist_Sweeper","Url"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,8,0,0,1,0,6.4,0.27,-1.6,-0.4,36,77,46.8,88,9,54.5,41.7,31,93.5,66.8,29,4,13.8,8,2,15.2,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Antonio Sivera","ESP","GK","26",1996,34,38,8,0,3,2,38.4,0.25,2.4,0.07,279,701,39.8,807,116,62.3,44.6,295,67.1,47.8,501,25,5,29,0.85,13.1,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,10,0,0,1,0,8.5,0.37,-1.5,-0.36,22,67,32.8,133,28,39.8,35.6,26,53.8,44,72,4,5.6,7,1.75,14.5,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,2,2,0,0,0,2.1,0.02,0.1,0.05,1,5,20,25,6,20,24.1,2,0,16.5,6,0,0,2,2,22.7,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,63,4,0,7,0,59.7,0.32,-3.3,-0.1,158,543,29.1,995,146,38.4,35.5,264,61,46.3,551,25,4.5,38,1.15,14.5,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","25",1998,6,5,0,0,1,0,3.7,0.26,-1.3,-0.22,19,69,27.5,169,30,34.9,33.3,19,52.6,41.4,46,8,17.4,9,1.5,14.6,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2024,"Arsenal","Premier League","David Raya","ESP","GK","27",1995,32,24,2,1,5,1,20.4,0.26,-2.6,-0.08,138,372,37.1,969,159,32.2,30.7,96,62.5,47.5,329,40,12.2,50,1.56,17.9,"https://fbref.com/en/players/98ea5115/David-Raya"
2024,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","30",1992,33.5,48,1,0,10,4,50.8,0.37,6.8,0.2,121,332,36.4,1270,157,21,27.7,159,40.9,36.1,373,45,12.1,69,2.06,17.5,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2024,"Aston Villa","Premier League","Robin Olsen","SWE","GK","33",1990,4.5,13,0,1,0,0,11.1,0.3,-1.9,-0.43,15,48,31.3,176,19,20.5,27.1,27,44.4,35.9,46,6,13,1,0.22,8.4,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2024,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","23",2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6,39,1.45,14.7,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2024,"Atalanta","Serie A","Juan Musso","ARG","GK","29",1994,11,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2024,"Atalanta","Serie A","Francesco Rossi","ITA","GK","32",1991,0.1,0,0,0,0,0,0.8,0.75,0.8,13.52,0,1,0,1,1,0,14,1,100,67,2,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
2024,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","22",2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,22,95.5,64.5,41,2,4.9,3,1.13,15.3,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
2024,"Athletic Club","La Liga","Unai Simón","ESP","GK","26",1997,35.4,33,1,0,2,4,38,0.28,9,0.26,220,679,32.4,982,144,48.5,38.7,240,84.6,60.9,450,31,6.9,46,1.3,16.3,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
2024,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","30",1993,38,43,1,0,3,0,39.8,0.28,-3.2,-0.08,114,336,33.9,740,180,27.6,31.5,283,46.6,38.7,579,36,6.2,22,0.58,11.8,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
