"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing","Starts_Playing","Min_Playing","Mins_Per_90","GA","GA90","SoTA","Saves","Save_percent","W","D","L","CS","CS_percent","PKatt_Penalty","PKA_Penalty","PKsv_Penalty","PKm_Penalty","Save_percent_Penalty","Url"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,4,360,4,8,2,24,16,66.7,1,2,1,1,25,0,0,0,0,NA,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Antonio Sivera","ESP","GK","26",1996,34,34,3060,34,38,1.12,123,87,75.6,11,8,15,10,29.4,8,8,0,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,4,360,4,10,2.5,23,13,56.5,1,1,2,0,0,0,0,0,0,NA,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,1,90,1,2,2,4,2,100,0,0,1,0,0,2,2,0,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,33,2970,33,63,1.91,175,111,66.3,2,11,20,6,18.2,7,4,1,2,20,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Arsenal","Premier League","Aaron Ramsdale","ENG","GK","25",1998,6,6,540,6,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,NA,"https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale"
2024,"Arsenal","Premier League","David Raya","ESP","GK","27",1995,32,32,2880,32,24,0.75,69,45,68.1,23,4,5,16,50,3,2,1,0,33.3,"https://fbref.com/en/players/98ea5115/David-Raya"
2024,"Aston Villa","Premier League","Emiliano Martínez","ARG","GK","30",1992,34,34,3015,33.5,48,1.43,139,95,66.2,19,8,7,8,23.5,1,1,0,0,0,"https://fbref.com/en/players/7956236f/Emiliano-Martinez"
2024,"Aston Villa","Premier League","Robin Olsen","SWE","GK","33",1990,5,4,405,4.5,13,2.89,34,20,61.8,1,0,3,0,0,1,0,1,0,100,"https://fbref.com/en/players/e7ee38c3/Robin-Olsen"
2024,"Atalanta","Serie A","Marco Carnesecchi","ITA","GK","23",2000,27,27,2425,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,4,2,1,33.3,"https://fbref.com/en/players/8ec56e62/Marco-Carnesecchi"
2024,"Atalanta","Serie A","Juan Musso","ARG","GK","29",1994,11,11,990,11,12,1.09,34,23,70.6,6,1,4,6,54.5,2,2,0,0,0,"https://fbref.com/en/players/a111cf41/Juan-Musso"
2024,"Atalanta","Serie A","Francesco Rossi","ITA","GK","32",1991,1,0,5,0.1,0,0,1,1,100,0,0,0,1,NA,0,0,0,0,NA,"https://fbref.com/en/players/7b5f516f/Francesco-Rossi"
2024,"Athletic Club","La Liga","Julen Agirrezabala","ESP","GK","22",2000,4,2,238,2.6,4,1.51,12,8,66.7,1,0,1,2,100,0,0,0,0,NA,"https://fbref.com/en/players/a2c1a8d3/Julen-Agirrezabala"
2024,"Athletic Club","La Liga","Unai Simón","ESP","GK","26",1997,36,36,3182,35.4,33,0.93,122,90,73.8,18,11,7,16,44.4,5,1,3,1,75,"https://fbref.com/en/players/5dcf3e90/Unai-Simon"
2024,"Atlético Madrid","La Liga","Jan Oblak","SVN","GK","30",1993,38,38,3420,38,43,1.13,144,101,70.8,24,4,10,13,34.2,2,1,0,1,0,"https://fbref.com/en/players/ee8508c0/Jan-Oblak"
2024,"Augsburg","Bundesliga","Finn Dahmen","GER","GK","25",1998,31,31,2790,31,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2,"https://fbref.com/en/players/dee3013b/Finn-Dahmen"
2024,"Augsburg","Bundesliga","Tomáš Koubek","CZE","GK","30",1992,3,3,270,3,8,2.67,25,17,68,0,0,3,0,0,0,0,0,0,NA,"https://fbref.com/en/players/dc366c36/Tomas-Koubek"
2024,"Barcelona","La Liga","Iñaki Peña","ESP","GK","24",1999,10,10,900,10,17,1.7,39,22,56.4,6,2,2,2,20,0,0,0,0,NA,"https://fbref.com/en/players/cc1c5035/Inaki-Pena"
2024,"Barcelona","La Liga","Marc-André ter Stegen","GER","GK","31",1992,28,28,2520,28,27,0.96,102,75,75.5,20,5,3,15,53.6,2,2,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen"
2024,"Bayern Munich","Bundesliga","Manuel Neuer","GER","GK","37",1986,23,23,2053,22.8,33,1.45,93,59,66.7,16,1,6,6,26.1,3,2,1,0,33.3,"https://fbref.com/en/players/8778c910/Manuel-Neuer"
