"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Cmp_Total","Att_Total","Cmp_percent_Total","TotDist_Total","PrgDist_Total","Cmp_Short","Att_Short","Cmp_percent_Short","Cmp_Medium","Att_Medium","Cmp_percent_Medium","Cmp_Long","Att_Long","Cmp_percent_Long","Ast","xAG","xA_Expected","A_minus_xAG_Expected","KP","Final_Third","PPA","CrsPA","PrgP","Url"
2024,"Alavés","La Liga","Abdel Abqar","MAR","DF","24",1999,25.7,553,762,72.6,12370,4872,141,164,86,302,339,89.1,99,225,44,0,0.2,0.2,-0.2,3,61,2,0,49,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2024,"Alavés","La Liga","Carlos Benavídez","URU","MF","25",1998,12.6,321,459,69.9,5838,1863,147,179,82.1,130,178,73,37,84,44,1,0.5,0.7,0.5,6,45,9,0,60,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2024,"Alavés","La Liga","Antonio Blanco","ESP","MF","23",2000,27,811,1053,77,14200,5503,383,444,86.3,310,379,81.8,87,154,56.5,1,1.2,1.1,-0.2,20,100,19,8,133,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2024,"Alavés","La Liga","Rubén Duarte","ESP","DF","27",1995,20.9,566,827,68.4,11070,5341,226,262,86.3,254,331,76.7,80,198,40.4,1,1.5,1.5,-0.5,17,58,15,10,81,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2024,"Alavés","La Liga","Andoni Gorosabel","ESP","DF","26",1996,31.7,1059,1329,79.7,15562,6234,627,704,89.1,345,439,78.6,55,100,55,0,1.3,2.4,-1.3,15,57,32,10,117,"https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel"
2024,"Alavés","La Liga","Ander Guevara","ESP","MF","26",1997,32.6,1111,1471,75.5,18552,6374,530,641,82.7,439,558,78.7,105,173,60.7,0,0.9,1.5,-0.9,21,167,21,2,187,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2024,"Alavés","La Liga","Jon Guridi","ESP","MF","28",1995,29.8,643,830,77.5,10484,2965,326,389,83.8,251,303,82.8,48,78,61.5,4,3.5,2.9,0.5,32,67,23,4,117,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2024,"Alavés","La Liga","Ianis Hagi","ROU","MF,FW","24",1998,8.9,194,301,64.5,3661,1189,100,119,84,61,93,65.6,31,65,47.7,2,2,1.8,0,24,21,12,4,32,"https://fbref.com/en/players/0127419a/Ianis-Hagi"
2024,"Alavés","La Liga","Jon Karrikaburu","ESP","MF,FW","20",2002,0.2,2,5,40,58,9,0,2,0,1,1,100,1,1,100,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/211589b8/Jon-Karrikaburu"
2024,"Alavés","La Liga","Kiké","ESP","FW,MF","33",1989,15.8,200,301,66.4,2973,589,105,147,71.4,67,95,70.5,11,19,57.9,2,2,1.4,0,18,15,8,2,32,"https://fbref.com/en/players/e897d8ba/Kike"
2024,"Alavés","La Liga","Javi López","ESP","DF","21",2002,26.5,775,1129,68.6,13424,5698,391,458,85.4,282,395,71.4,84,204,41.2,3,3,2.5,0,14,63,21,16,92,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2024,"Alavés","La Liga","Rafa Marín","ESP","DF","21",2002,27.1,846,1025,82.5,17631,7334,259,291,89,454,506,89.7,127,211,60.2,0,0.3,0.4,-0.3,5,71,2,0,77,"https://fbref.com/en/players/3239a8ed/Rafa-Marin"
2024,"Alavés","La Liga","Tomás Mendes","ESP","MF","18",2004,0.1,4,6,66.7,63,0,1,2,50,3,3,100,0,0,NA,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2024,"Alavés","La Liga","Miguel","ESP","FW,MF","23",1999,0.7,7,15,46.7,75,0,3,6,50,2,4,50,0,1,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6763373d/Miguel"
