"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Att","Live_Pass","Dead_Pass","FK_Pass","TB_Pass","Sw_Pass","Crs_Pass","TI_Pass","CK_Pass","In_Corner","Out_Corner","Str_Corner","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes","Url"
2024,"Alavés","La Liga","Abdel Abqar","MAR","DF","24",1999,25.7,762,704,55,50,0,17,2,4,0,0,0,0,553,3,10,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2024,"Alavés","La Liga","Carlos Benavídez","URU","MF","25",1998,12.6,459,447,11,7,1,6,4,3,1,0,0,0,321,1,3,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2024,"Alavés","La Liga","Antonio Blanco","ESP","MF","23",2000,27,1053,1018,30,25,4,21,15,2,3,1,0,0,811,5,27,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2024,"Alavés","La Liga","Rubén Duarte","ESP","DF","27",1995,20.9,827,658,160,55,0,8,70,104,1,0,0,0,566,9,10,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2024,"Alavés","La Liga","Andoni Gorosabel","ESP","DF","26",1996,31.7,1329,1014,311,25,0,3,81,285,1,0,0,0,1059,4,32,"https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel"
2024,"Alavés","La Liga","Ander Guevara","ESP","MF","26",1997,32.6,1471,1431,35,26,8,3,8,2,7,1,0,0,1111,5,35,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2024,"Alavés","La Liga","Jon Guridi","ESP","MF","28",1995,29.8,830,805,19,1,2,3,21,1,0,0,0,0,643,6,20,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2024,"Alavés","La Liga","Ianis Hagi","ROU","MF,FW","24",1998,8.9,301,227,71,15,4,5,54,15,32,10,12,0,194,3,14,"https://fbref.com/en/players/0127419a/Ianis-Hagi"
2024,"Alavés","La Liga","Jon Karrikaburu","ESP","MF,FW","20",2002,0.2,5,3,1,0,0,0,0,0,0,0,0,0,2,1,0,"https://fbref.com/en/players/211589b8/Jon-Karrikaburu"
2024,"Alavés","La Liga","Kiké","ESP","FW,MF","33",1989,15.8,301,288,10,0,2,1,10,0,0,0,0,0,200,3,9,"https://fbref.com/en/players/e897d8ba/Kike"
2024,"Alavés","La Liga","Javi López","ESP","DF","21",2002,26.5,1129,865,258,14,2,12,105,244,0,0,0,0,775,6,47,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2024,"Alavés","La Liga","Rafa Marín","ESP","DF","21",2002,27.1,1025,962,60,54,0,23,1,3,0,0,0,0,846,3,7,"https://fbref.com/en/players/3239a8ed/Rafa-Marin"
2024,"Alavés","La Liga","Tomás Mendes","ESP","MF","18",2004,0.1,6,6,0,0,0,0,0,0,0,0,0,0,4,0,0,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2024,"Alavés","La Liga","Miguel","ESP","FW,MF","23",1999,0.7,15,12,3,0,0,0,0,0,0,0,0,0,7,0,1,"https://fbref.com/en/players/6763373d/Miguel"
2024,"Alavés","La Liga","Samuel Omorodion","ESP","FW","19",2004,21.3,322,278,43,1,1,1,2,3,0,0,0,0,232,1,8,"https://fbref.com/en/players/dc44b03c/Samuel-Omorodion"
2024,"Alavés","La Liga","Eneko Ortiz","ESP","DF","20",2003,0.2,4,2,2,0,0,0,1,2,0,0,0,0,3,0,1,"https://fbref.com/en/players/dc5ea86b/Eneko-Ortiz"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,119,75,44,13,0,0,0,0,0,0,0,0,77,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Joaquín Panichelli","ARG","FW,MF","20",2002,2.5,46,43,2,0,0,1,0,1,0,0,0,0,29,1,3,"https://fbref.com/en/players/ae14af56/Joaquin-Panichelli"
2024,"Alavés","La Liga","Victor Parada","ESP","FW,MF","21",2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/8ca358c5/Victor-Parada"
2024,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","24",1998,8,225,179,44,3,0,1,63,12,28,10,8,2,124,2,18,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
