"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","MP_Playing.Time","Min_Playing.Time","Mn_per_MP_Playing.Time","Min_percent_Playing.Time","Mins_Per_90_Playing.Time","Starts_Starts","Mn_per_Start_Starts","Compl_Starts","Subs_Subs","Mn_per_Sub_Subs","unSub_Subs","PPM_Team.Success","onG_Team.Success","onGA_Team.Success","plus_per__minus__Team.Success","plus_per__minus_90_Team.Success","On_minus_Off_Team.Success","onxG_Team.Success..xG.","onxGA_Team.Success..xG","xGplus_per__minus__Team.Success..xG","xGplus_per__minus_90_Team.Success..xG","On_minus_Off_Team.Success..xG","Url"
2024,"Alavés","La Liga","Abdel Abqar","MAR","DF","24",1999,27,2312,86,67.6,25.7,27,86,23,0,NA,4,1.07,21,30,-9,-0.35,-0.27,27,30.7,-3.8,-0.15,-0.58,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2024,"Alavés","La Liga","Carlos Benavídez","URU","MF","25",1998,29,1136,39,33.2,12.6,10,79,5,19,18,4,1.34,19,13,6,0.48,1.11,16.3,15.4,0.9,0.07,0.05,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2024,"Alavés","La Liga","Antonio Blanco","ESP","MF","23",2000,33,2426,74,70.9,27,29,82,16,4,11,2,1.3,22,30,-8,-0.3,-0.12,29,30.5,-1.6,-0.06,-0.34,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2024,"Alavés","La Liga","Selu Diallo","ESP","MF","19",2003,0,NA,NA,NA,NA,0,NA,0,0,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/61636341/Selu-Diallo"
2024,"Alavés","La Liga","Rubén Duarte","ESP","DF","27",1995,28,1878,67,54.9,20.9,21,83,15,7,19,6,1.07,20,30,-10,-0.48,-0.48,25.9,25.8,0.1,0.01,-0.07,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2024,"Alavés","La Liga","George Gagua","GEO","FW","21",2001,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e66bd684/George-Gagua"
2024,"Alavés","La Liga","Álvaro García","ESP","DF","18",2005,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/a3827bd8/Alvaro-Garcia"
2024,"Alavés","La Liga","Gaizka García","ESP","GK","18",2005,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b424f8a5/Gaizka-Garcia"
2024,"Alavés","La Liga","Andoni Gorosabel","ESP","DF","26",1996,36,2854,79,83.5,31.7,33,85,21,3,13,1,1.25,28,35,-7,-0.22,0.26,36.2,36.4,-0.2,-0.01,-0.28,"https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel"
2024,"Alavés","La Liga","Ander Guevara","ESP","MF","26",1997,37,2932,79,85.7,32.6,33,86,23,4,22,0,1.24,31,41,-10,-0.31,-0.31,39.3,39,0.3,0.01,-0.22,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2024,"Alavés","La Liga","Jon Guridi","ESP","MF","28",1995,36,2678,74,78.3,29.8,34,77,10,2,36,1,1.28,30,32,-2,-0.07,0.9,37,32.2,4.8,0.16,0.57,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2024,"Alavés","La Liga","Ianis Hagi","ROU","MF,FW","24",1998,22,804,37,23.5,8.9,8,69,1,14,18,13,0.82,4,13,-9,-1.01,-0.97,11.9,11,0.9,0.11,0.09,"https://fbref.com/en/players/0127419a/Ianis-Hagi"
2024,"Alavés","La Liga","Joseda","ESP","DF","22",2001,0,NA,NA,NA,NA,0,NA,0,0,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d989154a/Joseda"
2024,"Alavés","La Liga","Jon Karrikaburu","ESP","MF,FW","20",2002,2,16,8,0.5,0.2,0,NA,0,2,8,13,0,0,1,-1,-5.63,-5.39,0,1.2,-1.1,-6.26,-6.33,"https://fbref.com/en/players/211589b8/Jon-Karrikaburu"
2024,"Alavés","La Liga","Kiké","ESP","FW,MF","33",1989,33,1423,43,41.6,15.8,15,71,1,18,20,4,1.24,19,15,4,0.25,0.88,23.6,17.3,6.4,0.4,0.62,"https://fbref.com/en/players/e897d8ba/Kike"
2024,"Alavés","La Liga","Javi López","ESP","DF","21",2002,32,2386,75,69.8,26.5,25,88,20,7,28,5,1.31,29,28,1,0.04,1,34.4,29.1,5.3,0.2,0.53,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2024,"Alavés","La Liga","Nikola Maraš","SRB","DF","27",1995,0,NA,NA,NA,NA,0,NA,0,0,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b9d0446f/Nikola-Maras"
2024,"Alavés","La Liga","Rafa Marín","ESP","DF","21",2002,33,2443,74,71.4,27.1,27,87,26,6,15,3,1.18,23,36,-13,-0.48,-0.76,30.5,33.8,-3.3,-0.12,-0.56,"https://fbref.com/en/players/3239a8ed/Rafa-Marin"
2024,"Alavés","La Liga","Tomás Mendes","ESP","MF","18",2004,1,6,6,0.2,0.1,0,NA,0,1,6,8,0,0,0,0,0,0.26,0.1,0,0.1,0.88,0.85,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2024,"Alavés","La Liga","Miguel","ESP","FW,MF","23",1999,3,65,22,1.9,0.7,1,56,0,2,5,0,1,0,2,-2,-2.77,-2.55,0.3,1,-0.7,-0.94,-1,"https://fbref.com/en/players/6763373d/Miguel"
2024,"Alavés","La Liga","Rubén Montero","ESP","GK","17",2005,0,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e4bf75c5/Ruben-Montero"
2024,"Alavés","La Liga","Egoitz Muñoz","ESP","DF","18",2005,0,NA,NA,NA,NA,0,NA,0,0,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/48e96631/Egoitz-Munoz"
2024,"Alavés","La Liga","Samuel Omorodion","ESP","FW","19",2004,34,1918,56,56.1,21.3,21,78,3,13,21,1,1.15,15,28,-13,-0.61,-0.79,23.1,27,-3.9,-0.18,-0.51,"https://fbref.com/en/players/dc44b03c/Samuel-Omorodion"
2024,"Alavés","La Liga","Eneko Ortiz","ESP","DF","20",2003,1,14,14,0.4,0.2,0,NA,0,1,14,8,1,0,0,0,0,0.26,0.2,0.1,0.1,0.35,0.31,"https://fbref.com/en/players/dc5ea86b/Eneko-Ortiz"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,360,90,10.5,4,4,90,4,0,NA,31,1.25,4,8,-4,-1,-0.82,6.6,5.6,1.1,0.27,0.25,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Joaquín Panichelli","ARG","FW,MF","20",2002,8,226,28,6.6,2.5,2,73,0,6,13,8,1,3,4,-1,-0.4,-0.14,4,3.4,0.6,0.25,0.23,"https://fbref.com/en/players/ae14af56/Joaquin-Panichelli"
2024,"Alavés","La Liga","Victor Parada","ESP","FW,MF","21",2002,2,3,2,0.1,0,0,NA,0,2,2,8,3,0,0,0,0,0.26,0,0.1,-0.1,-3.6,-3.64,"https://fbref.com/en/players/8ca358c5/Victor-Parada"
