"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Touches_Touches","Def Pen_Touches","Def 3rd_Touches","Mid 3rd_Touches","Att 3rd_Touches","Att Pen_Touches","Live_Touches","Att_Take","Succ_Take","Succ_percent_Take","Tkld_Take","Tkld_percent_Take","Carries_Carries","TotDist_Carries","PrgDist_Carries","PrgC_Carries","Final_Third_Carries","CPA_Carries","Mis_Carries","Dis_Carries","Rec_Receiving","PrgR_Receiving","Url"
2024,"Alavés","La Liga","Abdel Abqar","MAR","DF","24",1999,25.7,1032,191,570,422,42,21,1032,5,3,60,1,20,492,2460,1418,7,6,0,15,1,499,1,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2024,"Alavés","La Liga","Carlos Benavídez","URU","MF","25",1998,12.6,628,35,173,348,113,11,628,4,2,50,2,50,222,1090,508,9,10,1,11,5,286,5,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2024,"Alavés","La Liga","Antonio Blanco","ESP","MF","23",2000,27,1283,64,339,740,224,18,1283,33,19,57.6,8,24.2,620,2633,1271,20,15,3,19,22,762,22,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2024,"Alavés","La Liga","Rubén Duarte","ESP","DF","27",1995,20.9,1024,88,405,429,197,12,1024,5,3,60,1,20,395,1913,981,16,15,2,10,4,468,39,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2024,"Alavés","La Liga","Andoni Gorosabel","ESP","DF","26",1996,31.7,1624,89,489,683,466,40,1624,49,25,51,17,34.7,653,3230,1890,58,37,8,35,29,793,121,"https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel"
2024,"Alavés","La Liga","Ander Guevara","ESP","MF","26",1997,32.6,1735,75,409,1029,320,16,1735,32,19,59.4,10,31.3,840,4759,2604,53,43,3,29,24,1089,37,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2024,"Alavés","La Liga","Jon Guridi","ESP","MF","28",1995,29.8,1075,32,172,584,333,74,1075,38,14,36.8,21,55.3,536,2805,1392,30,25,3,36,28,700,92,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2024,"Alavés","La Liga","Ianis Hagi","ROU","MF,FW","24",1998,8.9,405,2,32,162,222,25,404,27,14,51.9,8,29.6,224,1175,576,17,13,2,13,13,249,58,"https://fbref.com/en/players/0127419a/Ianis-Hagi"
2024,"Alavés","La Liga","Jon Karrikaburu","ESP","MF,FW","20",2002,0.2,8,0,0,5,3,1,8,0,0,NA,0,NA,6,20,0,0,0,0,2,0,6,1,"https://fbref.com/en/players/211589b8/Jon-Karrikaburu"
2024,"Alavés","La Liga","Kiké","ESP","FW,MF","33",1989,15.8,517,18,51,199,280,108,516,33,15,45.5,14,42.4,300,1319,472,18,10,12,56,21,392,97,"https://fbref.com/en/players/e897d8ba/Kike"
2024,"Alavés","La Liga","Javi López","ESP","DF","21",2002,26.5,1407,89,441,582,404,45,1407,74,41,55.4,28,37.8,631,4017,1896,53,44,11,40,20,720,120,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2024,"Alavés","La Liga","Rafa Marín","ESP","DF","21",2002,27.1,1303,220,711,555,45,25,1303,5,3,60,1,20,628,3485,2110,13,5,0,11,4,696,6,"https://fbref.com/en/players/3239a8ed/Rafa-Marin"
2024,"Alavés","La Liga","Tomás Mendes","ESP","MF","18",2004,0.1,7,0,1,4,2,0,7,0,0,NA,0,NA,6,20,1,0,1,0,0,1,5,0,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2024,"Alavés","La Liga","Miguel","ESP","FW,MF","23",1999,0.7,22,0,1,12,9,3,22,0,0,NA,0,NA,9,42,25,1,0,1,2,4,14,3,"https://fbref.com/en/players/6763373d/Miguel"
2024,"Alavés","La Liga","Samuel Omorodion","ESP","FW","19",2004,21.3,600,18,38,289,282,107,600,57,22,38.6,33,57.9,344,1689,668,30,17,24,89,36,434,100,"https://fbref.com/en/players/dc44b03c/Samuel-Omorodion"
2024,"Alavés","La Liga","Eneko Ortiz","ESP","DF","20",2003,0.2,4,0,0,2,2,0,4,0,0,NA,0,NA,2,22,17,1,1,0,0,0,2,1,"https://fbref.com/en/players/dc5ea86b/Eneko-Ortiz"
