"Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","Gls_Standard","Sh_Standard","SoT_Standard","SoT_percent_Standard","Sh_per_90_Standard","SoT_per_90_Standard","G_per_Sh_Standard","G_per_SoT_Standard","Dist_Standard","FK_Standard","PK_Standard","PKatt_Standard","xG_Expected","npxG_Expected","npxG_per_Sh_Expected","G_minus_xG_Expected","np:G_minus_xG_Expected","Url"
2024,"Alavés","La Liga","Abdel Abqar","MAR","DF","24",1999,25.7,0,10,3,30,0.39,0.12,0,0,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5,"https://fbref.com/en/players/2bc7f211/Abdel-Abqar"
2024,"Alavés","La Liga","Carlos Benavídez","URU","MF","25",1998,12.6,3,14,7,50,1.11,0.55,0.21,0.43,19.8,0,0,0,1,1,0.07,2,2,"https://fbref.com/en/players/9fb45456/Carlos-Benavidez"
2024,"Alavés","La Liga","Antonio Blanco","ESP","MF","23",2000,27,0,20,3,15,0.74,0.11,0,0,25.1,0,0,0,0.8,0.8,0.04,-0.8,-0.8,"https://fbref.com/en/players/506daeac/Antonio-Blanco"
2024,"Alavés","La Liga","Rubén Duarte","ESP","DF","27",1995,20.9,2,15,5,33.3,0.72,0.24,0.13,0.4,24.6,3,0,0,0.7,0.7,0.05,1.3,1.3,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
2024,"Alavés","La Liga","Andoni Gorosabel","ESP","DF","26",1996,31.7,1,15,6,40,0.47,0.19,0.07,0.17,23.4,0,0,0,0.7,0.7,0.05,0.3,0.3,"https://fbref.com/en/players/6f5f82c0/Andoni-Gorosabel"
2024,"Alavés","La Liga","Ander Guevara","ESP","MF","26",1997,32.6,1,16,2,12.5,0.49,0.06,0.06,0.5,23.2,0,0,0,0.7,0.7,0.04,0.3,0.3,"https://fbref.com/en/players/8e48dc61/Ander-Guevara"
2024,"Alavés","La Liga","Jon Guridi","ESP","MF","28",1995,29.8,3,36,8,22.2,1.21,0.27,0.08,0.38,13,0,0,0,4,4,0.11,-1,-1,"https://fbref.com/en/players/4c0a6a48/Jon-Guridi"
2024,"Alavés","La Liga","Ianis Hagi","ROU","MF,FW","24",1998,8.9,0,26,8,30.8,2.91,0.9,0,0,23.9,4,0,1,2.8,2,0.08,-2.8,-2,"https://fbref.com/en/players/0127419a/Ianis-Hagi"
2024,"Alavés","La Liga","Jon Karrikaburu","ESP","MF,FW","20",2002,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/211589b8/Jon-Karrikaburu"
2024,"Alavés","La Liga","Kiké","ESP","FW,MF","33",1989,15.8,3,56,23,41.1,3.54,1.45,0.05,0.13,13.1,0,0,1,7.7,6.9,0.12,-4.7,-3.9,"https://fbref.com/en/players/e897d8ba/Kike"
2024,"Alavés","La Liga","Javi López","ESP","DF","21",2002,26.5,1,18,3,16.7,0.68,0.11,0.06,0.33,17.4,0,0,0,0.9,0.9,0.05,0.1,0.1,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
2024,"Alavés","La Liga","Rafa Marín","ESP","DF","21",2002,27.1,0,13,3,23.1,0.48,0.11,0,0,14.5,0,0,0,0.7,0.7,0.05,-0.7,-0.7,"https://fbref.com/en/players/3239a8ed/Rafa-Marin"
2024,"Alavés","La Liga","Tomás Mendes","ESP","MF","18",2004,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/45f771db/Tomas-Mendes"
2024,"Alavés","La Liga","Miguel","ESP","FW,MF","23",1999,0.7,0,2,1,50,2.77,1.38,0,0,19.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,"https://fbref.com/en/players/6763373d/Miguel"
2024,"Alavés","La Liga","Samuel Omorodion","ESP","FW","19",2004,21.3,8,64,24,37.5,3,1.13,0.13,0.33,13.5,0,0,0,10.8,10.8,0.17,-2.8,-2.8,"https://fbref.com/en/players/dc44b03c/Samuel-Omorodion"
2024,"Alavés","La Liga","Eneko Ortiz","ESP","DF","20",2003,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/dc5ea86b/Eneko-Ortiz"
2024,"Alavés","La Liga","Jesús Owono","EQG","GK","22",2001,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/d6e3d7fb/Jesus-Owono"
2024,"Alavés","La Liga","Joaquín Panichelli","ARG","FW,MF","20",2002,2.5,0,9,2,22.2,3.58,0.8,0,0,17.8,0,0,0,0.6,0.6,0.06,-0.6,-0.6,"https://fbref.com/en/players/ae14af56/Joaquin-Panichelli"
2024,"Alavés","La Liga","Victor Parada","ESP","FW,MF","21",2002,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/8ca358c5/Victor-Parada"
2024,"Alavés","La Liga","Abderrahman Rebbach","ALG","FW,MF","24",1998,8,1,17,4,23.5,2.12,0.5,0.06,0.25,19.4,1,0,0,0.8,0.8,0.05,0.2,0.2,"https://fbref.com/en/players/9a796115/Abderrahman-Rebbach"
2024,"Alavés","La Liga","Luis Rioja","ESP","FW,MF","29",1993,27.8,5,53,15,28.3,1.91,0.54,0.04,0.13,21.6,4,3,4,6.1,3,0.06,-1.1,-1,"https://fbref.com/en/players/eb3dd471/Luis-Rioja"
2024,"Alavés","La Liga","Unai Ropero","ESP","MF","21",2001,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/7868c973/Unai-Ropero"
2024,"Alavés","La Liga","Aleksandar Sedlar","SRB","DF","31",1991,10.5,1,4,1,25,0.38,0.1,0.25,1,10.7,0,0,0,0.3,0.3,0.07,0.7,0.7,"https://fbref.com/en/players/a35134ae/Aleksandar-Sedlar"
2024,"Alavés","La Liga","Giuliano Simeone","ARG","FW","20",2002,7,1,14,2,14.3,2,0.29,0.07,0.5,19.7,0,0,1,2.4,1.6,0.12,-1.4,-0.6,"https://fbref.com/en/players/a6536561/Giuliano-Simeone"
2024,"Alavés","La Liga","Antonio Sivera","ESP","GK","26",1996,34,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/9970da54/Antonio-Sivera"
2024,"Alavés","La Liga","Alex Sola","ESP","FW,MF","24",1999,14,0,28,7,25,2,0.5,0,0,17.6,2,0,0,1.6,1.6,0.06,-1.6,-1.6,"https://fbref.com/en/players/5fa714d5/Alex-Sola"
2024,"Alavés","La Liga","Mamadou Sylla","SEN","FW,MF","29",1994,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/e5ec95f8/Mamadou-Sylla"
2024,"Alavés","La Liga","Nahuel Tenaglia","ARG","DF","27",1996,12.7,1,8,1,12.5,0.63,0.08,0.13,1,14.1,0,0,0,0.6,0.6,0.08,0.4,0.4,"https://fbref.com/en/players/66654daa/Nahuel-Tenaglia"
2024,"Alavés","La Liga","Carlos Vicente","ESP","FW","24",1999,12.4,2,15,8,53.3,1.21,0.65,0.13,0.25,15.2,1,0,0,2.3,2.3,0.16,-0.3,-0.3,"https://fbref.com/en/players/90df343e/Carlos-Vicente"
2024,"Alavés","La Liga","Xeber","ESP","FW,MF","26",1997,3.4,0,5,0,0,1.49,0,0,NA,16.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,"https://fbref.com/en/players/d2c8aacc/Xeber"
2024,"Almería","La Liga","Sergio Akieme","ESP","DF","25",1997,18.6,2,9,5,55.6,0.48,0.27,0.22,0.4,17.4,0,0,0,1.2,1.2,0.13,0.8,0.8,"https://fbref.com/en/players/06efa9dc/Sergio-Akieme"
2024,"Almería","La Liga","Sergio Arribas","ESP","MF,FW","21",2001,22.7,9,60,22,36.7,2.64,0.97,0.15,0.41,16.8,1,0,0,8.6,8.6,0.15,0.4,0.4,"https://fbref.com/en/players/1e465e70/Sergio-Arribas"
2024,"Almería","La Liga","Iddrisu Baba","GHA","MF","27",1996,15.9,0,8,2,25,0.5,0.13,0,0,25.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,"https://fbref.com/en/players/bfd381b3/Iddrisu-Baba"
2024,"Almería","La Liga","Srđan Babić","SRB","DF","27",1996,1,0,1,0,0,1,0,0,NA,11.6,0,0,0,0,0,0.04,0,0,"https://fbref.com/en/players/075fe5a3/Srdjan-Babic"
2024,"Almería","La Liga","Léo Baptistão","BRA","FW","30",1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,16.7,0,0,0,5.3,5.3,0.11,0.7,0.7,"https://fbref.com/en/players/35f6db55/Leo-Baptistao"
2024,"Almería","La Liga","Juan Brandáriz","ESP","DF","24",1999,27,0,5,0,0,0.18,0,0,NA,13.8,0,0,0,1,1,0.19,-1,-1,"https://fbref.com/en/players/2475cf9b/Juan-Brandariz"
2024,"Almería","La Liga","Álex Centelles","ESP","DF","25",1997,10.9,0,2,1,50,0.18,0.09,0,0,21.2,0,0,0,0,0,0.02,0,0,"https://fbref.com/en/players/ae852b7d/Alex-Centelles"
2024,"Almería","La Liga","Adri Embarba","ESP","FW,MF","31",1992,27.5,3,63,24,38.1,2.29,0.87,0.03,0.08,24.1,12,1,1,4.3,3.5,0.06,-1.3,-1.5,"https://fbref.com/en/players/db8f0eba/Adri-Embarba"
2024,"Almería","La Liga","Fernando","ESP","GK","33",1990,4,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/dabb2827/Fernando"
2024,"Almería","La Liga","Rachad Fettal","MAR","FW","18",2005,0.2,0,1,0,0,5.29,0,0,NA,8.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,"https://fbref.com/en/players/ae9a9b2d/Rachad-Fettal"
2024,"Almería","La Liga","Édgar González","ESP","DF,MF","26",1997,28,2,13,3,23.1,0.46,0.11,0.15,0.67,10.3,0,0,0,2.3,2.3,0.18,-0.3,-0.3,"https://fbref.com/en/players/49d028db/Edgar-Gonzalez"
2024,"Almería","La Liga","Luis Javier Suárez","COL","FW","25",1997,10.2,6,39,13,33.3,3.83,1.28,0.13,0.38,14.2,0,1,1,6.5,5.7,0.15,-0.5,-0.7,"https://fbref.com/en/players/eeba07f8/Luis-Javier-Suarez"
2024,"Almería","La Liga","Kaiky","BRA","DF","19",2004,5.8,1,3,1,33.3,0.52,0.17,0.33,1,11.4,0,0,0,0.2,0.2,0.08,0.8,0.8,"https://fbref.com/en/players/55634fb8/Kaiky"
2024,"Almería","La Liga","Ibrahima Koné","MLI","FW","24",1999,3.1,0,4,2,50,1.3,0.65,0,0,12.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,"https://fbref.com/en/players/04bb2b06/Ibrahima-Kone"
2024,"Almería","La Liga","Bruno Langa","MOZ","DF","25",1997,9.1,1,8,2,25,0.88,0.22,0.13,0.5,24.6,0,0,0,0.2,0.2,0.02,0.8,0.8,"https://fbref.com/en/players/72947847/Bruno-Langa"
2024,"Almería","La Liga","Lázaro","BRA","FW,MF","21",2002,3.2,0,8,4,50,2.53,1.26,0,0,18.3,0,0,0,0.9,0.9,0.11,-0.9,-0.9,"https://fbref.com/en/players/86ff856b/Lazaro"
2024,"Almería","La Liga","Dion Lopy","SEN","MF","21",2002,21.3,0,23,8,34.8,1.08,0.38,0,0,26.2,0,0,0,1.3,1.3,0.06,-1.3,-1.3,"https://fbref.com/en/players/64c14d49/Dion-Lopy"
2024,"Almería","La Liga","Anthony Lozano","HON","FW","30",1993,8.6,3,23,9,39.1,2.68,1.05,0.13,0.33,13.3,0,0,0,3.3,3.3,0.14,-0.3,-0.3,"https://fbref.com/en/players/38699c72/Anthony-Lozano"
2024,"Almería","La Liga","Diego Mariño","ESP","GK","33",1990,1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/d9235a45/Diego-Marino"
2024,"Almería","La Liga","Luís Maximiano","POR","GK","24",1999,33,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/3318286e/Luis-Maximiano"
2024,"Almería","La Liga","Gonzalo Melero","ESP","MF,FW","29",1994,12.3,1,14,4,28.6,1.14,0.33,0.07,0.25,11.7,0,0,0,2,2,0.14,-1,-1,"https://fbref.com/en/players/3902e91b/Gonzalo-Melero"
2024,"Almería","La Liga","Houboulang Mendes","GNB","DF","25",1998,4.4,0,1,0,0,0.23,0,0,NA,23.2,0,0,0,0,0,0.01,0,0,"https://fbref.com/en/players/1545cf15/Houboulang-Mendes"
2024,"Almería","La Liga","Marko Milovanović","SRB","FW,MF","19",2003,3.4,1,5,1,20,1.46,0.29,0.2,1,16.2,0,0,0,1.5,1.5,0.31,-0.5,-0.5,"https://fbref.com/en/players/1fda2b14/Marko-Milovanovic"
2024,"Almería","La Liga","César Montes","MEX","DF","26",1997,19.9,0,13,2,15.4,0.65,0.1,0,0,11,0,0,0,0.7,0.7,0.05,-0.7,-0.7,"https://fbref.com/en/players/28e957d7/Cesar-Montes"
2024,"Almería","La Liga","Marcos Peña","ESP","MF","18",2005,4.9,0,4,1,25,0.82,0.2,0,0,28.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,"https://fbref.com/en/players/736c14ec/Marcos-Pena"
2024,"Almería","La Liga","Alejandro Pozo Pozo","ESP","DF,MF","24",1999,10.8,0,4,3,75,0.37,0.28,0,0,23.3,0,0,0,0.4,0.4,0.1,-0.4,-0.4,"https://fbref.com/en/players/3c16d927/Alejandro-Pozo-Pozo"
2024,"Almería","La Liga","Pubill","ESP","DF","20",2003,20.9,1,20,5,25,0.96,0.24,0.05,0.2,20.8,0,0,0,0.7,0.7,0.04,0.3,0.3,"https://fbref.com/en/players/365113c0/Pubill"
2024,"Almería","La Liga","Arnau Puigmal","ESP","FW,DF","22",2001,2.8,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/39352da2/Arnau-Puigmal"
2024,"Almería","La Liga","Aleksandar Radovanović","SRB","DF","29",1993,6.3,0,1,0,0,0.16,0,0,NA,10.5,0,0,0,0,0,0.04,0,0,"https://fbref.com/en/players/09507ffa/Aleksandar-Radovanovic"
2024,"Almería","La Liga","Largie Ramazani","BEL","FW,MF","22",2001,17.3,3,40,12,30,2.32,0.69,0.08,0.25,17.5,1,0,0,4.7,4.7,0.12,-1.7,-1.7,"https://fbref.com/en/players/cc9256ef/Largie-Ramazani"
2024,"Almería","La Liga","Lucas Robertone","ARG","MF","26",1997,26.5,0,37,13,35.1,1.4,0.49,0,0,28.1,3,0,0,1,1,0.03,-1,-1,"https://fbref.com/en/players/a8981944/Lucas-Robertone"
2024,"Almería","La Liga","Luka Romero","ARG","FW","18",2004,4.9,3,8,3,37.5,1.64,0.62,0.38,1,15.9,0,0,0,1.3,1.3,0.18,1.7,1.7,"https://fbref.com/en/players/ca6edaa0/Luka-Romero"
2024,"Almería","La Liga","Marciano Sanca","GNB","FW,MF","19",2004,0.5,0,1,0,0,2.09,0,0,NA,22.7,0,0,0,0,0,0.03,0,0,"https://fbref.com/en/players/39a938cb/Marciano-Sanca"
2024,"Almería","La Liga","Paco Sanz","ESP","DF","18",2004,0.3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0,"https://fbref.com/en/players/b7aa8fd8/Paco-Sanz"
2024,"Almería","La Liga","Jonathan Viera","ESP","MF","33",1989,10.1,0,12,5,41.7,1.18,0.49,0,0,18.7,1,0,0,1.3,1.3,0.11,-1.3,-1.3,"https://fbref.com/en/players/efa708aa/Jonathan-Viera"
2024,"Arsenal","Premier League","Mohamed Elneny","EGY","MF","31",1992,0.3,0,2,1,50,6.43,3.21,0,0,25.8,0,0,0,0.1,0.1,0.04,-0.1,-0.1,"https://fbref.com/en/players/47a34c4f/Mohamed-Elneny"
2024,"Arsenal","Premier League","Kai Havertz","GER","MF,FW","24",1999,29.3,13,68,27,39.7,2.32,0.92,0.18,0.44,12.4,0,1,1,12.3,11.6,0.17,0.7,0.4,"https://fbref.com/en/players/fed7cb61/Kai-Havertz"
