Player,Squad,Age,Pos,Nation,Season_End_Year,Comp,Born,Mins_Per_90_Playing,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG._per__minus__Expected,X_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att..GK._Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,X.OPA_Sweeper,X.OPA_per_90_Sweeper,AvgDist_Sweeper,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Weekly_Wages_Pounds,Annual_Wages_Pounds,Career_Injuries_Duration,Career_Games_Missed
Jesús Owono,Alavés,22.0,GK,EQG,2024,La Liga,2001.0,4.0,8.0,0.0,0.0,1.0,0.0,6.4,0.27,-1.6,-0.4,36.0,77.0,46.8,88.0,9.0,54.5,41.7,31.0,93.5,66.8,29.0,4.0,13.8,8.0,2.0,15.2,8.0,2.0,24.0,16.0,66.7,1.0,2.0,1.0,1.0,25.0,0.0,0.0,0.0,0.0,,2482.0,129089.0,,
Antonio Sivera,Alavés,26.0,GK,ESP,2024,La Liga,1996.0,34.0,38.0,8.0,0.0,3.0,2.0,38.4,0.25,2.4,0.07,279.0,701.0,39.8,807.0,116.0,62.3,44.6,295.0,67.1,47.8,501.0,25.0,5.0,29.0,0.85,13.1,38.0,1.12,123.0,87.0,75.6,11.0,8.0,15.0,10.0,29.4,8.0,8.0,0.0,0.0,0.0,14564.0,757325.0,73.0,5.0
Fernando,Almería,33.0,GK,ESP,2024,La Liga,1990.0,4.0,10.0,0.0,0.0,1.0,0.0,8.5,0.37,-1.5,-0.36,22.0,67.0,32.8,133.0,28.0,39.8,35.6,26.0,53.8,44.0,72.0,4.0,5.6,7.0,1.75,14.5,10.0,2.5,23.0,13.0,56.5,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,7282.0,378662.0,596.0,90.0
Diego Mariño,Almería,33.0,GK,ESP,2024,La Liga,1990.0,1.0,2.0,2.0,0.0,0.0,0.0,2.1,0.02,0.1,0.05,1.0,5.0,20.0,25.0,6.0,20.0,24.1,2.0,0.0,16.5,6.0,0.0,0.0,2.0,2.0,22.7,2.0,2.0,4.0,2.0,100.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,4634.0,240967.0,87.0,17.0
Luís Maximiano,Almería,24.0,GK,POR,2024,La Liga,1999.0,33.0,63.0,4.0,0.0,7.0,0.0,59.7,0.32,-3.3,-0.1,158.0,543.0,29.1,995.0,146.0,38.4,35.5,264.0,61.0,46.3,551.0,25.0,4.5,38.0,1.15,14.5,63.0,1.91,175.0,111.0,66.3,2.0,11.0,20.0,6.0,18.2,7.0,4.0,1.0,2.0,20.0,34424.0,1790041.0,66.0,10.0
Aaron Ramsdale,Arsenal,25.0,GK,ENG,2024,Premier League,1998.0,6.0,5.0,0.0,0.0,1.0,0.0,3.7,0.26,-1.3,-0.22,19.0,69.0,27.5,169.0,30.0,34.9,33.3,19.0,52.6,41.4,46.0,8.0,17.4,9.0,1.5,14.6,5.0,0.83,14.0,9.0,64.3,5.0,1.0,0.0,2.0,33.3,0.0,0.0,0.0,0.0,,120000.0,6240000.0,11.0,1.0
David Raya,Arsenal,27.0,GK,ESP,2024,Premier League,1995.0,32.0,24.0,2.0,1.0,5.0,1.0,20.4,0.26,-2.6,-0.08,138.0,372.0,37.1,969.0,159.0,32.2,30.7,96.0,62.5,47.5,329.0,40.0,12.2,50.0,1.56,17.9,24.0,0.75,69.0,45.0,68.1,23.0,4.0,5.0,16.0,50.0,3.0,2.0,1.0,0.0,33.3,85000.0,4420000.0,408.0,76.0
Emiliano Martínez,Aston Villa,30.0,GK,ARG,2024,Premier League,1992.0,33.5,48.0,1.0,0.0,10.0,4.0,50.8,0.37,6.8,0.2,121.0,332.0,36.4,1270.0,157.0,21.0,27.7,159.0,40.9,36.1,373.0,45.0,12.1,69.0,2.06,17.5,48.0,1.43,139.0,95.0,66.2,19.0,8.0,7.0,8.0,23.5,1.0,1.0,0.0,0.0,0.0,120000.0,6240000.0,9.0,1.0
Robin Olsen,Aston Villa,33.0,GK,SWE,2024,Premier League,1990.0,4.5,13.0,0.0,1.0,0.0,0.0,11.1,0.3,-1.9,-0.43,15.0,48.0,31.3,176.0,19.0,20.5,27.1,27.0,44.4,35.9,46.0,6.0,13.0,1.0,0.22,8.4,13.0,2.89,34.0,20.0,61.8,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,50000.0,2600000.0,89.0,18.0
Marco Carnesecchi,Atalanta,23.0,GK,ITA,2024,Serie A,2000.0,26.9,30.0,4.0,0.0,2.0,0.0,29.3,0.22,-0.7,-0.03,121.0,338.0,35.8,680.0,142.0,30.6,33.8,193.0,67.4,51.7,332.0,20.0,6.0,39.0,1.45,14.7,30.0,1.11,107.0,75.0,75.7,15.0,5.0,7.0,8.0,29.6,7.0,4.0,2.0,1.0,33.3,3144.0,163513.0,426.0,96.0
