Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90_Playing,Gls,G.A,G_minus_PK,PK,PKatt,xAG_Expected,npxG.xAG_Expected,PrgC_Progression,PrgP_Progression,PrgR_Progression,Gls_Per,Ast_Per,G.A_Per,G_minus_PK_Per,G.A_minus_PK_Per,xG_Per,xAG_Per,xG.xAG_Per,npxG_Per,npxG.xAG_Per,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,xAG,xA_Expected,A_minus_xAG_Expected,KP,Final_Third,PPA,CrsPA,PrgP,Touches_Touches,Def.Pen_Touches,Def.3rd_Touches,Mid.3rd_Touches,Att.3rd_Touches,Att.Pen_Touches,Live_Touches,Att_Take,Succ_Take,Succ_percent_Take,Tkld_Take,Tkld_percent_Take,Carries_Carries,TotDist_Carries,PrgDist_Carries,PrgC_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Rec_Receiving,PrgR_Receiving,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Gls_Standard,Sh_Standard,SoT_Standard,SoT_percent_Standard,Sh_per_90_Standard,SoT_per_90_Standard,G_per_Sh_Standard,G_per_SoT_Standard,Dist_Standard,FK_Standard,PK_Standard,PKatt_Standard,npxG_per_Sh_Expected,G_minus_xG_Expected,np.G_minus_xG_Expected,SCA_SCA,SCA90_SCA,PassLive_SCA,PassDead_SCA,TO_SCA,Sh_SCA,Fld_SCA,Def_SCA,GCA_GCA,GCA90_GCA,PassLive_GCA,PassDead_GCA,TO_GCA,Sh_GCA,Fld_GCA,Def_GCA,X2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Att,Live_Pass,Dead_Pass,FK_Pass,TB_Pass,Sw_Pass,Crs_Pass,TI_Pass,CK_Pass,In_Corner,Out_Corner,Str_Corner,Cmp_Outcomes,Off_Outcomes,Blocks_Outcomes,Career_Injuries_Duration,Career_Games_Missed,Weekly_Wages_Pounds,Annual_Wages_Pounds,Row_Number
2024,Alavés,La Liga,Abdel Abqar,MAR,DF,24.0,1999.0,25.7,0,0,0,0,0,0.2,0.6,7.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,553.0,762.0,72.6,12370.0,4872.0,141.0,164.0,86.0,302.0,339.0,89.1,99.0,225.0,44.0,0.2,0.2,-0.2,3.0,61.0,2.0,0.0,49.0,1032.0,191.0,570.0,422.0,42.0,21.0,1032.0,5.0,3.0,60.0,1.0,20.0,492.0,2460.0,1418.0,7.0,6.0,0.0,15.0,1.0,499.0,1.0,27,2312,86,67.6,25.7,27,86.0,23,0,,4,1.07,21,30,-9,-0.35,-0.27,27.0,30.7,-3.8,-0.15,-0.58,0,10,3,30.0,0.39,0.12,0.0,0.0,12.1,0.0,0,0,0.05,-0.5,-0.5,12.0,0.47,9.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,33,23,1,2,23,19,0.0,2.0,1,109.0,39.0,36.0,52.0,762.0,704.0,55.0,50.0,0.0,17.0,2,4.0,0.0,0.0,0.0,0.0,553.0,3.0,10.0,,,6123.0,318421.0,0
2024,Alavés,La Liga,Carlos Benavídez,URU,MF,25.0,1998.0,12.6,3,4,3,0,0,0.5,1.5,9.0,60.0,5.0,0.24,0.08,0.32,0.24,0.32,0.08,0.04,0.12,0.08,0.12,321.0,459.0,69.9,5838.0,1863.0,147.0,179.0,82.1,130.0,178.0,73.0,37.0,84.0,44.0,0.5,0.7,0.5,6.0,45.0,9.0,0.0,60.0,628.0,35.0,173.0,348.0,113.0,11.0,628.0,4.0,2.0,50.0,2.0,50.0,222.0,1090.0,508.0,9.0,10.0,1.0,11.0,5.0,286.0,5.0,29,1136,39,33.2,12.6,10,79.0,5,19,18.0,4,1.34,19,13,6,0.48,1.11,16.3,15.4,0.9,0.07,0.05,3,14,7,50.0,1.11,0.55,0.21,0.43,19.8,0.0,0,0,0.07,2.0,2.0,22.0,1.74,15.0,0.0,0.0,2.0,2.0,3.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,0,38,9,1,4,19,35,0.0,2.0,0,72.0,35.0,30.0,53.8,459.0,447.0,11.0,7.0,1.0,6.0,4,3.0,1.0,0.0,0.0,0.0,321.0,1.0,3.0,730.0,96.0,5461.0,283997.0,1
2024,Alavés,La Liga,Antonio Blanco,ESP,MF,23.0,2000.0,27.0,0,1,0,0,0,1.2,2.1,20.0,133.0,22.0,0.0,0.04,0.04,0.0,0.04,0.03,0.05,0.08,0.03,0.08,811.0,1053.0,77.0,14200.0,5503.0,383.0,444.0,86.3,310.0,379.0,81.8,87.0,154.0,56.5,1.2,1.1,-0.2,20.0,100.0,19.0,8.0,133.0,1283.0,64.0,339.0,740.0,224.0,18.0,1283.0,33.0,19.0,57.6,8.0,24.2,620.0,2633.0,1271.0,20.0,15.0,3.0,19.0,22.0,762.0,22.0,33,2426,74,70.9,27.0,29,82.0,16,4,11.0,2,1.3,22,30,-8,-0.3,-0.12,29.0,30.5,-1.6,-0.06,-0.34,0,20,3,15.0,0.74,0.11,0.0,0.0,25.1,0.0,0,0,0.04,-0.8,-0.8,45.0,1.67,39.0,1.0,0.0,2.0,3.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0,36,40,0,15,35,36,0.0,0.0,0,160.0,21.0,18.0,53.8,1053.0,1018.0,30.0,25.0,4.0,21.0,15,2.0,3.0,1.0,0.0,0.0,811.0,5.0,27.0,,,8275.0,430298.0,2
2024,Alavés,La Liga,Rubén Duarte,ESP,DF,27.0,1995.0,20.9,2,3,2,0,0,1.5,2.2,16.0,81.0,39.0,0.1,0.05,0.14,0.1,0.14,0.03,0.07,0.1,0.03,0.1,566.0,827.0,68.4,11070.0,5341.0,226.0,262.0,86.3,254.0,331.0,76.7,80.0,198.0,40.4,1.5,1.5,-0.5,17.0,58.0,15.0,10.0,81.0,1024.0,88.0,405.0,429.0,197.0,12.0,1024.0,5.0,3.0,60.0,1.0,20.0,395.0,1913.0,981.0,16.0,15.0,2.0,10.0,4.0,468.0,39.0,28,1878,67,54.9,20.9,21,83.0,15,7,19.0,6,1.07,20,30,-10,-0.48,-0.48,25.9,25.8,0.1,0.01,-0.07,2,15,5,33.3,0.72,0.24,0.13,0.4,24.6,3.0,0,0,0.05,1.3,1.3,32.0,1.54,21.0,8.0,1.0,1.0,1.0,0.0,2.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0,31,30,0,70,23,20,0.0,0.0,0,93.0,27.0,26.0,50.9,827.0,658.0,160.0,55.0,0.0,8.0,70,104.0,1.0,0.0,0.0,0.0,566.0,9.0,10.0,123.0,11.0,9433.0,490540.0,3
2024,Alavés,La Liga,Andoni Gorosabel,ESP,DF,26.0,1996.0,31.7,1,1,1,0,0,1.3,2.0,58.0,117.0,121.0,0.03,0.0,0.03,0.03,0.03,0.02,0.04,0.06,0.02,0.06,1059.0,1329.0,79.7,15562.0,6234.0,627.0,704.0,89.1,345.0,439.0,78.6,55.0,100.0,55.0,1.3,2.4,-1.3,15.0,57.0,32.0,10.0,117.0,1624.0,89.0,489.0,683.0,466.0,40.0,1624.0,49.0,25.0,51.0,17.0,34.7,653.0,3230.0,1890.0,58.0,37.0,8.0,35.0,29.0,793.0,121.0,36,2854,79,83.5,31.7,33,85.0,21,3,13.0,1,1.25,28,35,-7,-0.22,0.26,36.2,36.4,-0.2,-0.01,-0.28,1,15,6,40.0,0.47,0.19,0.07,0.17,23.4,0.0,0,0,0.05,0.3,0.3,59.0,1.86,46.0,5.0,1.0,1.0,4.0,2.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,0,29,41,0,81,28,42,1.0,1.0,0,164.0,25.0,57.0,30.5,1329.0,1014.0,311.0,25.0,0.0,3.0,81,285.0,1.0,0.0,0.0,0.0,1059.0,4.0,32.0,382.0,60.0,16550.0,860596.0,4
2024,Alavés,La Liga,Ander Guevara,ESP,MF,26.0,1997.0,32.6,1,1,1,0,0,0.9,1.5,53.0,187.0,37.0,0.03,0.0,0.03,0.03,0.03,0.02,0.03,0.05,0.02,0.05,1111.0,1471.0,75.5,18552.0,6374.0,530.0,641.0,82.7,439.0,558.0,78.7,105.0,173.0,60.7,0.9,1.5,-0.9,21.0,167.0,21.0,2.0,187.0,1735.0,75.0,409.0,1029.0,320.0,16.0,1735.0,32.0,19.0,59.4,10.0,31.3,840.0,4759.0,2604.0,53.0,43.0,3.0,29.0,24.0,1089.0,37.0,37,2932,79,85.7,32.6,33,86.0,23,4,22.0,0,1.24,31,41,-10,-0.31,-0.31,39.3,39.0,0.3,0.01,-0.22,1,16,2,12.5,0.49,0.06,0.06,0.5,23.2,0.0,0,0,0.04,0.3,0.3,69.0,2.12,58.0,4.0,2.0,3.0,1.0,1.0,3.0,0.09,2.0,0.0,0.0,0.0,1.0,0.0,0,48,30,0,8,13,32,1.0,0.0,0,218.0,45.0,41.0,52.3,1471.0,1431.0,35.0,26.0,8.0,3.0,8,2.0,7.0,1.0,0.0,0.0,1111.0,5.0,35.0,186.0,27.0,14895.0,774537.0,5
2024,Alavés,La Liga,Jon Guridi,ESP,MF,28.0,1995.0,29.8,3,7,3,0,0,3.5,7.5,30.0,117.0,92.0,0.1,0.13,0.24,0.1,0.24,0.13,0.12,0.25,0.13,0.25,643.0,830.0,77.5,10484.0,2965.0,326.0,389.0,83.8,251.0,303.0,82.8,48.0,78.0,61.5,3.5,2.9,0.5,32.0,67.0,23.0,4.0,117.0,1075.0,32.0,172.0,584.0,333.0,74.0,1075.0,38.0,14.0,36.8,21.0,55.3,536.0,2805.0,1392.0,30.0,25.0,3.0,36.0,28.0,700.0,92.0,36,2678,74,78.3,29.8,34,77.0,10,2,36.0,1,1.28,30,32,-2,-0.07,0.9,37.0,32.2,4.8,0.16,0.57,3,36,8,22.2,1.21,0.27,0.08,0.38,13.0,0.0,0,0,0.11,-1.0,-1.0,69.0,2.32,54.0,0.0,2.0,7.0,2.0,4.0,8.0,0.27,6.0,0.0,0.0,2.0,0.0,0.0,0,21,30,2,21,22,24,0.0,0.0,0,131.0,45.0,47.0,48.9,830.0,805.0,19.0,1.0,2.0,3.0,21,1.0,0.0,0.0,0.0,0.0,643.0,6.0,20.0,617.0,77.0,7613.0,395874.0,6
2024,Alavés,La Liga,Ianis Hagi,ROU,"MF,FW",24.0,1998.0,8.9,0,2,0,0,1,2.0,4.0,17.0,32.0,58.0,0.0,0.22,0.22,0.0,0.22,0.31,0.22,0.53,0.22,0.44,194.0,301.0,64.5,3661.0,1189.0,100.0,119.0,84.0,61.0,93.0,65.6,31.0,65.0,47.7,2.0,1.8,0.0,24.0,21.0,12.0,4.0,32.0,405.0,2.0,32.0,162.0,222.0,25.0,404.0,27.0,14.0,51.9,8.0,29.6,224.0,1175.0,576.0,17.0,13.0,2.0,13.0,13.0,249.0,58.0,22,804,37,23.5,8.9,8,69.0,1,14,18.0,13,0.82,4,13,-9,-1.01,-0.97,11.9,11.0,0.9,0.11,0.09,0,26,8,30.8,2.91,0.9,0.0,0.0,23.9,4.0,0,1,0.08,-2.8,-2.0,48.0,5.37,26.0,15.0,3.0,3.0,1.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0,0,13,19,1,54,5,12,0.0,0.0,0,33.0,13.0,11.0,54.2,301.0,227.0,71.0,15.0,4.0,5.0,54,15.0,32.0,10.0,12.0,0.0,194.0,3.0,14.0,392.0,74.0,24825.0,1290895.0,7
2024,Alavés,La Liga,Jon Karrikaburu,ESP,"MF,FW",20.0,2002.0,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,58.0,9.0,0.0,2.0,0.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,3.0,1.0,8.0,0.0,0.0,,0.0,,6.0,20.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,2,16,8,0.5,0.2,0,,0,2,8.0,13,0.0,0,1,-1,-5.63,-5.39,0.0,1.2,-1.1,-6.26,-6.33,0,0,0,,0.0,0.0,,,,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0.0,0.0,0,2.0,0.0,0.0,,5.0,3.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,6289.0,327027.0,8
2024,Alavés,La Liga,Kiké,ESP,"FW,MF",33.0,1989.0,15.8,3,5,3,0,1,2.0,8.9,18.0,32.0,97.0,0.19,0.13,0.32,0.19,0.32,0.49,0.13,0.61,0.44,0.56,200.0,301.0,66.4,2973.0,589.0,105.0,147.0,71.4,67.0,95.0,70.5,11.0,19.0,57.9,2.0,1.4,0.0,18.0,15.0,8.0,2.0,32.0,517.0,18.0,51.0,199.0,280.0,108.0,516.0,33.0,15.0,45.5,14.0,42.4,300.0,1319.0,472.0,18.0,10.0,12.0,56.0,21.0,392.0,97.0,33,1423,43,41.6,15.8,15,71.0,1,18,20.0,4,1.24,19,15,4,0.25,0.88,23.6,17.3,6.4,0.4,0.62,3,56,23,41.1,3.54,1.45,0.05,0.13,13.1,0.0,0,1,0.12,-4.7,-3.9,40.0,2.53,26.0,0.0,5.0,4.0,5.0,0.0,6.0,0.38,3.0,0.0,2.0,0.0,1.0,0.0,0,25,36,7,10,1,4,2.0,0.0,0,52.0,50.0,63.0,44.2,301.0,288.0,10.0,0.0,2.0,1.0,10,0.0,0.0,0.0,0.0,0.0,200.0,3.0,9.0,,,10757.0,559388.0,9
